timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,HighPerformanceShortTimeBinPacker,resnet50-inference,1,7.8,645.326752725393,scaling_check
5,HighPerformanceShortTimeBinPacker,speech-inference,1,1.6,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,1,1.6,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,resnet50-training,1,4.4,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,python-pi,1,9.4,1263.8826410324218,scaling_check
5,HighPerformanceShortTimeBinPacker,fio,1,9.4,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,resnet50-inference,2,17.2,645.326752725393,scaling_check
10,HighPerformanceShortTimeBinPacker,speech-inference,1,3.6,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,1,3.6,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,resnet50-training,1,9.8,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,python-pi,2,21.0,1263.8826410324218,scaling_check
10,HighPerformanceShortTimeBinPacker,fio,2,21.0,0.0,scaling_check
15,HighPerformanceShortTimeBinPacker,resnet50-inference,3,19.4,0.0,scaling_check
15,HighPerformanceShortTimeBinPacker,speech-inference,1,4.2,0.0,scaling_check
15,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,1,4.2,0.0,scaling_check
15,HighPerformanceShortTimeBinPacker,resnet50-training,2,11.0,0.0,scaling_check
15,HighPerformanceShortTimeBinPacker,python-pi,3,23.4,0.0,scaling_check
15,HighPerformanceShortTimeBinPacker,fio,3,23.4,0.0,scaling_check
20,HighPerformanceShortTimeBinPacker,resnet50-inference,4,21.2,0.0,scaling_check
20,HighPerformanceShortTimeBinPacker,speech-inference,1,4.6,0.0,scaling_check
20,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,1,4.6,0.0,scaling_check
20,HighPerformanceShortTimeBinPacker,resnet50-training,3,12.2,0.0,scaling_check
20,HighPerformanceShortTimeBinPacker,python-pi,4,25.8,0.0,scaling_check
20,HighPerformanceShortTimeBinPacker,fio,4,25.8,0.0,scaling_check
25,HighPerformanceShortTimeBinPacker,resnet50-inference,5,23.0,0.0,scaling_check
25,HighPerformanceShortTimeBinPacker,speech-inference,1,4.8,0.0,scaling_check
25,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,1,4.8,0.0,scaling_check
25,HighPerformanceShortTimeBinPacker,resnet50-training,4,13.2,0.0,scaling_check
25,HighPerformanceShortTimeBinPacker,python-pi,5,28.2,0.0,scaling_check
25,HighPerformanceShortTimeBinPacker,fio,5,28.2,0.0,scaling_check
30,HighPerformanceShortTimeBinPacker,resnet50-inference,6,24.8,0.0,scaling_check
30,HighPerformanceShortTimeBinPacker,speech-inference,1,5.4,0.0,scaling_check
30,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,1,5.4,0.0,scaling_check
30,HighPerformanceShortTimeBinPacker,resnet50-training,5,14.0,0.0,scaling_check
30,HighPerformanceShortTimeBinPacker,python-pi,6,29.8,0.0,scaling_check
30,HighPerformanceShortTimeBinPacker,fio,6,29.8,0.0,scaling_check
35,HighPerformanceShortTimeBinPacker,resnet50-inference,7,25.8,0.0,scaling_check
35,HighPerformanceShortTimeBinPacker,speech-inference,2,5.6,0.0,scaling_check
35,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,2,5.6,0.0,scaling_check
35,HighPerformanceShortTimeBinPacker,resnet50-training,6,14.8,0.0,scaling_check
35,HighPerformanceShortTimeBinPacker,python-pi,7,31.6,0.0,scaling_check
35,HighPerformanceShortTimeBinPacker,fio,7,31.6,0.0,scaling_check
40,HighPerformanceShortTimeBinPacker,resnet50-inference,8,27.0,568.7304133322034,scaling_check
40,HighPerformanceShortTimeBinPacker,speech-inference,3,5.6,13432.844315432234,scaling_check
40,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,3,5.6,6118.656119847953,scaling_check
40,HighPerformanceShortTimeBinPacker,resnet50-training,7,15.4,0.0,scaling_check
40,HighPerformanceShortTimeBinPacker,python-pi,8,32.6,9862.35433566632,scaling_check
40,HighPerformanceShortTimeBinPacker,fio,8,32.6,0.0,scaling_check
45,HighPerformanceShortTimeBinPacker,resnet50-inference,9,27.6,564.219345534671,scaling_check
45,HighPerformanceShortTimeBinPacker,speech-inference,4,6.0,6186.4266137007735,scaling_check
45,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,4,6.0,0.0,scaling_check
45,HighPerformanceShortTimeBinPacker,resnet50-training,8,15.8,0.0,scaling_check
45,HighPerformanceShortTimeBinPacker,python-pi,9,33.6,9796.570188461348,scaling_check
45,HighPerformanceShortTimeBinPacker,fio,9,33.6,0.0,scaling_check
50,HighPerformanceShortTimeBinPacker,resnet50-inference,10,27.8,0.0,scaling_check
50,HighPerformanceShortTimeBinPacker,speech-inference,5,6.0,0.0,scaling_check
50,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,5,6.0,0.0,scaling_check
50,HighPerformanceShortTimeBinPacker,resnet50-training,9,16.0,0.0,scaling_check
50,HighPerformanceShortTimeBinPacker,python-pi,10,33.8,0.0,scaling_check
50,HighPerformanceShortTimeBinPacker,fio,10,33.8,0.0,scaling_check
55,HighPerformanceShortTimeBinPacker,resnet50-inference,11,28.0,0.0,scaling_check
55,HighPerformanceShortTimeBinPacker,speech-inference,6,6.0,0.0,scaling_check
55,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,6,6.0,0.0,scaling_check
55,HighPerformanceShortTimeBinPacker,resnet50-training,10,16.0,0.0,scaling_check
55,HighPerformanceShortTimeBinPacker,python-pi,11,34.0,0.0,scaling_check
55,HighPerformanceShortTimeBinPacker,fio,11,34.0,0.0,scaling_check
60,HighPerformanceShortTimeBinPacker,resnet50-inference,12,27.6,0.0,scaling_check
60,HighPerformanceShortTimeBinPacker,speech-inference,7,5.8,0.0,scaling_check
60,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,7,5.8,0.0,scaling_check
60,HighPerformanceShortTimeBinPacker,resnet50-training,11,15.8,0.0,scaling_check
60,HighPerformanceShortTimeBinPacker,python-pi,12,33.4,0.0,scaling_check
60,HighPerformanceShortTimeBinPacker,fio,12,33.4,0.0,scaling_check
65,HighPerformanceShortTimeBinPacker,resnet50-inference,13,27.0,0.0,scaling_check
65,HighPerformanceShortTimeBinPacker,speech-inference,8,5.8,0.0,scaling_check
65,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,8,5.8,0.0,scaling_check
65,HighPerformanceShortTimeBinPacker,resnet50-training,12,15.4,0.0,scaling_check
65,HighPerformanceShortTimeBinPacker,python-pi,13,32.8,0.0,scaling_check
65,HighPerformanceShortTimeBinPacker,fio,13,32.8,0.0,scaling_check
70,HighPerformanceShortTimeBinPacker,resnet50-inference,14,25.8,0.0,scaling_check
70,HighPerformanceShortTimeBinPacker,speech-inference,9,5.6,0.0,scaling_check
70,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,9,5.6,0.0,scaling_check
70,HighPerformanceShortTimeBinPacker,resnet50-training,13,14.8,0.0,scaling_check
70,HighPerformanceShortTimeBinPacker,python-pi,14,31.4,0.0,scaling_check
70,HighPerformanceShortTimeBinPacker,fio,14,31.4,0.0,scaling_check
75,HighPerformanceShortTimeBinPacker,resnet50-inference,15,24.8,588.7661384807087,scaling_check
75,HighPerformanceShortTimeBinPacker,speech-inference,10,5.2,11356.282793312748,scaling_check
75,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,10,5.2,18786.471498057526,scaling_check
75,HighPerformanceShortTimeBinPacker,resnet50-training,14,14.0,0.0,scaling_check
75,HighPerformanceShortTimeBinPacker,python-pi,15,30.0,10553.558437889787,scaling_check
75,HighPerformanceShortTimeBinPacker,fio,15,30.0,0.0,scaling_check
80,HighPerformanceShortTimeBinPacker,resnet50-inference,16,23.0,588.516540963059,scaling_check
80,HighPerformanceShortTimeBinPacker,speech-inference,11,5.0,5622.576771946855,scaling_check
80,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,11,5.0,0.0,scaling_check
80,HighPerformanceShortTimeBinPacker,resnet50-training,15,13.2,0.0,scaling_check
80,HighPerformanceShortTimeBinPacker,python-pi,16,28.0,10341.884584643987,scaling_check
80,HighPerformanceShortTimeBinPacker,fio,16,28.0,0.0,scaling_check
85,HighPerformanceShortTimeBinPacker,resnet50-inference,17,21.4,0.0,scaling_check
85,HighPerformanceShortTimeBinPacker,speech-inference,12,4.6,0.0,scaling_check
85,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,11,4.6,0.0,scaling_check
85,HighPerformanceShortTimeBinPacker,resnet50-training,16,12.2,0.0,scaling_check
85,HighPerformanceShortTimeBinPacker,python-pi,17,25.8,0.0,scaling_check
85,HighPerformanceShortTimeBinPacker,fio,17,25.8,0.0,scaling_check
90,HighPerformanceShortTimeBinPacker,resnet50-inference,18,19.2,0.0,scaling_check
90,HighPerformanceShortTimeBinPacker,speech-inference,12,4.2,0.0,scaling_check
90,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,11,4.2,0.0,scaling_check
