FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-17 16:45:09

Total deployment events: 1689
Number of node-function combinations: 649

Event Type Summary:
  Deployment events: 22
  Replica events: 1152
  Network events: 515

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | resnet50-inference-downtown | deploy resnet50-inference-downtown
t=   0.0s | deployment | global               | resnet50-inference-suburb | deploy resnet50-inference-suburb
t=   0.0s | deployment | global               | resnet50-inference-industrial | deploy resnet50-inference-industrial
t=   0.0s | deployment | global               | resnet50-inference-residential | deploy resnet50-inference-residential
t=   0.0s | deployment | global               | resnet50-inference-commercial | deploy resnet50-inference-commercial
t=   0.0s | deployment | global               | resnet50-inference-airport | deploy resnet50-inference-airport
t=   0.0s | deployment | global               | resnet50-inference-port   | deploy resnet50-inference-port
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | speech-inference-downtown | deploy speech-inference-downtown
t=   0.0s | deployment | global               | speech-inference-suburb   | deploy speech-inference-suburb
t=   0.0s | deployment | global               | speech-inference-industrial | deploy speech-inference-industrial
t=   0.0s | deployment | global               | speech-inference-residential | deploy speech-inference-residential
t=   0.0s | deployment | global               | speech-inference-commercial | deploy speech-inference-commercial
t=   0.0s | deployment | global               | resnet50-preprocessing    | deploy resnet50-preprocessing
t=   0.0s | deployment | global               | resnet50-preprocessing-downtown | deploy resnet50-preprocessing-downtown
t=   0.0s | deployment | global               | resnet50-preprocessing-suburb | deploy resnet50-preprocessing-suburb
t=   0.0s | deployment | global               | resnet50-preprocessing-industrial | deploy resnet50-preprocessing-industrial
t=   0.0s | deployment | global               | resnet50-preprocessing-residential | deploy resnet50-preprocessing-residential
t=   0.0s | deployment | global               | resnet50-preprocessing-commercial | deploy resnet50-preprocessing-commercial
t=   0.0s | deployment | global               | resnet50-preprocessing-airport | deploy resnet50-preprocessing-airport
t=   0.0s | deployment | global               | resnet50-preprocessing-port | deploy resnet50-preprocessing-port
t=   0.0s | replica    | tx2_11               | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | nano_12              | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t=   2.0s | replica    | nano_21              | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t=   2.0s | network    | registry → rpi4_0    | unknown                   | docker_pull (31.5 MB)
t=   2.1s | network    | registry → rpi4_1    | unknown                   | docker_pull (31.5 MB)
t=   2.2s | network    | registry → coral_9   | unknown                   | docker_pull (38.1 MB)
t=   2.3s | network    | registry → coral_11  | unknown                   | docker_pull (38.1 MB)
t=   2.4s | network    | registry → rockpi_18 | unknown                   | docker_pull (38.1 MB)
t=   2.5s | network    | registry → tx2_11    | unknown                   | docker_pull (95.4 MB)
t=   2.6s | network    | registry → nano_12   | unknown                   | docker_pull (95.4 MB)
t=   2.7s | network    | registry → nano_21   | unknown                   | docker_pull (95.4 MB)
t=   2.8s | network    | registry → nano_46   | unknown                   | docker_pull (95.4 MB)
t=   2.9s | network    | registry → tx2_0     | unknown                   | docker_pull (95.4 MB)
t=   3.0s | replica    | nano_46              | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t=   3.0s | network    | registry → tx2_1     | unknown                   | docker_pull (95.4 MB)
t=   3.1s | network    | registry → tx2_5     | unknown                   | docker_pull (95.4 MB)
t=   3.2s | network    | registry → rpi4_4    | unknown                   | docker_pull (130.7 MB)
t=   3.3s | network    | registry → rpi4_5    | unknown                   | docker_pull (130.7 MB)
t=   3.4s | network    | registry → rpi4_12   | unknown                   | docker_pull (130.7 MB)
t=   3.5s | network    | registry → rpi4_13   | unknown                   | docker_pull (130.7 MB)
t=   3.6s | network    | registry → coral_6   | unknown                   | docker_pull (182.2 MB)
t=   3.7s | network    | registry → rockpi_16 | unknown                   | docker_pull (182.2 MB)
