FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-07 13:52:25

Total deployment events: 1521
Number of node-function combinations: 252

Event Type Summary:
  Deployment events: 16
  Replica events: 1262
  Network events: 243

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | resnet50-inference-downtown | deploy resnet50-inference-downtown
t=   0.0s | deployment | global               | resnet50-inference-suburb | deploy resnet50-inference-suburb
t=   0.0s | deployment | global               | resnet50-inference-industrial | deploy resnet50-inference-industrial
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | speech-inference-downtown | deploy speech-inference-downtown
t=   0.0s | deployment | global               | speech-inference-suburb   | deploy speech-inference-suburb
t=   0.0s | deployment | global               | resnet50-preprocessing    | deploy resnet50-preprocessing
t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   0.0s | deployment | global               | resnet50-training-downtown | deploy resnet50-training-downtown
t=   0.0s | deployment | global               | python-pi                 | deploy python-pi
t=   0.0s | deployment | global               | python-pi-downtown        | deploy python-pi-downtown
t=   0.0s | deployment | global               | python-pi-suburb          | deploy python-pi-suburb
t=   0.0s | deployment | global               | fio                       | deploy fio
t=   0.0s | deployment | global               | fio-downtown              | deploy fio-downtown
t=   0.0s | deployment | global               | fio-suburb                | deploy fio-suburb
t=   0.0s | replica    | nx_10                | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | nano_3               | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t=   2.0s | replica    | nx_3                 | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t=   2.0s | network    | registry → rpi3_3    | unknown                   | docker_pull (19.1 MB)
t=   2.1s | network    | registry → rpi3_4    | unknown                   | docker_pull (19.1 MB)
t=   2.2s | network    | registry → coral_1   | unknown                   | docker_pull (59.1 MB)
t=   2.3s | network    | registry → coral_3   | unknown                   | docker_pull (59.1 MB)
t=   2.4s | network    | registry → rockpi_30 | unknown                   | docker_pull (38.1 MB)
t=   2.5s | network    | registry → rockpi_8  | unknown                   | docker_pull (38.1 MB)
t=   2.6s | network    | registry → nano_3    | unknown                   | docker_pull (95.4 MB)
t=   2.7s | network    | registry → nx_3      | unknown                   | docker_pull (95.4 MB)
t=   2.8s | network    | registry → nano_17   | unknown                   | docker_pull (95.4 MB)
t=   2.9s | network    | registry → nano_15   | unknown                   | docker_pull (95.4 MB)
t=   3.0s | replica    | nano_17              | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t=   3.0s | network    | registry → nano_26   | unknown                   | docker_pull (95.4 MB)
t=   3.1s | network    | nuc_0 → rockpi_30    | unknown                   | data_download (45.8 MB)
t=   3.2s | network    | registry → nx_10     | unknown                   | docker_pull (59.1 MB)
t=   3.3s | network    | registry → nx_10     | unknown                   | docker_pull (95.4 MB)
t=   3.4s | network    | registry → rockpi_8  | unknown                   | docker_pull (182.2 MB)
t=   3.5s | network    | nuc_0 → rockpi_30    | unknown                   | data_download (45.8 MB)
t=   3.6s | network    | nuc_0 → rockpi_8     | unknown                   | data_download (45.8 MB)
t=   3.7s | network    | nuc_0 → nano_17      | unknown                   | data_download (98.2 MB)
t=   3.8s | network    | nuc_0 → nano_3       | unknown                   | data_download (98.2 MB)
t=   3.9s | network    | nuc_0 → nx_3         | unknown                   | data_download (98.2 MB)
t=   4.0s | replica    | rockpi_30            | speech-inference          | deploy replica of speech-inference
t=   4.0s | network    | nuc_0 → nx_10        | unknown                   | data_download (98.2 MB)
t=   4.1s | network    | nuc_0 → nano_26      | unknown                   | data_download (55.3 MB)
t=   4.2s | network    | nuc_0 → nano_15      | unknown                   | data_download (55.3 MB)
t=   4.3s | network    | nuc_0 → nano_15      | unknown                   | data_download (55.3 MB)
t=   4.4s | network    | nuc_0 → nano_26      | unknown                   | data_download (55.3 MB)
